INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
244608249,05/05/2022,00:10:00,MANHATTAN,INSIDE,14,0,COMMERCIAL,VIDEO STORE,true,25-44,M,BLACK,25-44,M,BLACK,986050,214231,40.754692,-73.9935,POINT (-73.9935 40.754692)
247542571,07/04/2022,22:20:00,BRONX,OUTSIDE,48,0,STREET,(null),true,(null),(null),(null),18-24,M,BLACK,1016802,250581,40.854402,-73.88233,POINT (-73.88233 40.854402)
84967535,05/27/2012,19:35:00,QUEENS,,103,0,,,false,,,,18-24,M,BLACK,1048632.000000000000000,198262.000000000000000,40.71063412500007,-73.767773491999947,POINT (-73.76777349199995 40.71063412500007)
202853370,09/24/2019,21:00:00,BRONX,,42,0,,,false,25-44,M,UNKNOWN,25-44,M,BLACK,1014493.000000000000000,242565.000000000000000,40.832416753000075,-73.890714405999972,POINT (-73.89071440599997 40.832416753000075)
27078636,02/25/2007,21:00:00,BROOKLYN,,83,0,,,false,25-44,M,BLACK,25-44,M,BLACK,1009149.375000000000000,190104.703125000000000,40.688443459000041,-73.910218573999941,POINT (-73.91021857399994 40.68844345900004)
230311078,07/01/2021,23:07:00,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,999061,229912,40.79772716600007,-73.94650786199998,POINT (-73.94650786199998 40.79772716600007)
229224142,06/07/2021,19:55:00,QUEENS,,113,0,,,true,,,,45-64,M,BLACK,1042534,184647,40.673306465000046,-73.78988688199998,POINT (-73.78988688199998 40.673306465000046)
231246224,07/22/2021,01:47:00,BROOKLYN,,77,0,,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK,1004507,182865,40.66858395700007,-73.92697993199994,POINT (-73.92697993199994 40.66858395700007)
228559720,05/22/2021,18:39:00,BRONX,,48,0,,,false,,,,18-24,M,BLACK,1016391,249523,40.851507714000036,-73.88382239499998,POINT (-73.88382239499998 40.851507714000036)
238210279,12/22/2021,23:17:00,BRONX,,49,0,,,true,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1021438,252793,40.86046306400005,-73.86556104899995,POINT (-73.86556104899995 40.86046306400005)
233431365,09/10/2021,22:30:00,BROOKLYN,,73,0,,,false,,,,25-44,M,BLACK,1009715,185349,40.675388531000074,-73.90819699999997,POINT (-73.90819699999997 40.675388531000074)
238238212,12/23/2021,04:05:00,QUEENS,,114,0,,BAR/NIGHT CLUB,true,,,,25-44,M,BLACK,1009215,219725,40.769743719000076,-73.90987205399993,POINT (-73.90987205399993 40.769743719000076)
227089385,04/18/2021,21:56:00,QUEENS,,114,0,,,true,,,,18-24,M,BLACK,1007938,217508,40.76366214500007,-73.91449012799995,POINT (-73.91449012799995 40.76366214500007)
236818010,11/22/2021,21:40:00,MANHATTAN,,28,0,,,false,18-24,M,BLACK,25-44,M,BLACK,997742,232494,40.804816163000055,-73.95126656699995,POINT (-73.95126656699995 40.804816163000055)
230713944,07/10/2021,01:40:00,BRONX,,43,0,,,false,,,,18-24,M,BLACK,1025108,243208,40.83413887300003,-73.85235185799998,POINT (-73.85235185799998 40.83413887300003)
228865038,05/28/2021,16:14:00,BROOKLYN,,71,0,,,false,,,,18-24,M,BLACK,995361,181624,40.66519388900008,-73.95995105499998,POINT (-73.95995105499998 40.66519388900008)
232263466,08/13/2021,03:56:00,QUEENS,,106,0,,,false,,,,25-44,M,BLACK,1035200,190461,40.68930978800007,-73.81628200299998,POINT (-73.81628200299998 40.68930978800007)
229643175,06/16/2021,18:32:00,QUEENS,,105,0,,,false,,,,25-44,M,BLACK,1053690,187533,40.68114737700005,-73.74963982599996,POINT (-73.74963982599996 40.68114737700005)
224465138,02/16/2021,11:55:00,MANHATTAN,,7,0,,,false,25-44,M,BLACK,65+,F,WHITE,988222,200837,40.71793522900003,-73.985672762,POINT (-73.985672762 40.71793522900003)
228566033,05/23/2021,03:50:00,BRONX,,41,0,,,false,,,,18-24,M,WHITE HISPANIC,1014021,236838,40.81669937700008,-73.89244544699994,POINT (-73.89244544699994 40.81669937700008)
230741367,07/11/2021,20:13:00,QUEENS,,113,0,,,true,,,,18-24,M,BLACK,1051884,195923,40.704189886000044,-73.756066977,POINT (-73.756066977 40.704189886000044)
233429422,09/11/2021,15:13:00,BROOKLYN,,73,0,,,false,25-44,M,BLACK,25-44,M,BLACK,1006376,181512,40.66486580000004,-73.92024708999998,POINT (-73.92024708999998 40.66486580000004)
236403182,11/17/2021,17:06:00,BRONX,,47,0,,,false,,,,18-24,M,BLACK,1022178,256770,40.87137556200002,-73.86286333099997,POINT (-73.86286333099997 40.87137556200002)
229848435,06/20/2021,22:38:00,BRONX,,46,0,,,false,,,,25-44,M,BLACK,1011671,248756,40.84941844700006,-73.90088675199996,POINT (-73.90088675199996 40.84941844700006)
235259981,10/21/2021,01:10:00,MANHATTAN,,32,0,,,false,,,,25-44,M,BLACK,1001339,236103,40.81471564200007,-73.93826454499998,POINT (-73.93826454499998 40.81471564200007)
231005016,07/17/2021,00:25:00,BROOKLYN,,83,0,,,false,,,,25-44,M,BLACK,1009333,191223,40.69151240700006,-73.90955229099995,POINT (-73.90955229099995 40.69151240700006)
235428526,10/22/2021,22:22:00,BRONX,,48,0,,,false,,,,25-44,M,BLACK,1013704,248182,40.84783644000004,-73.89354088999994,POINT (-73.89354088999994 40.84783644000004)
222524733,01/01/2021,00:16:00,QUEENS,,108,0,,,false,,,,18-24,M,BLACK,998549,213987,40.75401807000002,-73.94839096099996,POINT (-73.94839096099996 40.75401807000002)
85744761,07/15/2012,03:00:00,BRONX,,49,0,,,false,,,,18-24,F,BLACK,1021010.812500000000000,245958.046875000000000,40.841704951000054,-73.867142871999988,POINT (-73.86714287199999 40.841704951000054)
227950644,05/06/2021,17:35:00,QUEENS,,100,0,,,false,,,,25-44,M,BLACK,1041112,155737,40.593964103000076,-73.79525678499994,POINT (-73.79525678499994 40.593964103000076)
237908431,12/15/2021,20:36:00,QUEENS,,110,0,,,false,,,,25-44,M,BLACK,1021926,207874,40.73717073000005,-73.86404887999998,POINT (-73.86404887999998 40.73717073000005)
238040457,12/18/2021,18:00:00,BROOKLYN,,75,1,,,false,,,,25-44,M,BLACK,1021568,185710,40.676337363000066,-73.86546353999995,POINT (-73.86546353999995 40.676337363000066)
236168669,11/11/2021,18:33:00,QUEENS,,113,0,,,false,,,,45-64,M,BLACK,1042522,187296,40.680577432000064,-73.78990723799996,POINT (-73.78990723799996 40.680577432000064)
224079498,02/06/2021,21:14:00,BRONX,,42,0,,,true,25-44,M,BLACK,25-44,M,BLACK,1009784,239429,40.82382420000005,-73.90774291599996,POINT (-73.90774291599996 40.82382420000005)
229822333,06/19/2021,23:29:00,BROOKLYN,,67,0,,,false,,,,45-64,M,BLACK,1005950,179753,40.660038790000044,-73.92178829099998,POINT (-73.92178829099998 40.660038790000044)
233147094,09/04/2021,15:39:00,BRONX,,49,0,,,false,,,,18-24,M,BLACK,1020207,253133,40.86140136000005,-73.87000947599995,POINT (-73.87000947599995 40.86140136000005)
231326500,07/23/2021,18:08:00,BROOKLYN,,71,0,,,false,,,,25-44,M,BLACK,1002948,182618,40.66790942700004,-73.93260042799993,POINT (-73.93260042799993 40.66790942700004)
237087697,11/29/2021,09:36:00,BROOKLYN,,73,0,,,false,,,,18-24,M,BLACK,1008683,186426,40.67834756000008,-73.91191357999998,POINT (-73.91191357999998 40.67834756000008)
226542152,04/05/2021,22:10:00,BRONX,,44,2,,MULTI DWELL - PUBLIC HOUS,false,,,,45-64,M,BLACK,1004214,244406,40.83749898100007,-73.92785341999998,POINT (-73.92785341999998 40.83749898100007)
231371588,07/26/2021,08:54:00,BROOKLYN,,84,0,,,false,,,,45-64,M,BLACK,987077,189079,40.685662708000045,-73.98980819599996,POINT (-73.98980819599996 40.685662708000045)
227344200,04/23/2021,16:47:00,BROOKLYN,,88,0,,,false,,,,18-24,M,BLACK,994949,190197,40.68872534800005,-73.96142253099998,POINT (-73.96142253099998 40.68872534800005)
232265324,08/14/2021,05:12:00,BROOKLYN,,67,0,,,false,,,,25-44,F,BLACK,999662,175419,40.64815608300007,-73.94446197999997,POINT (-73.94446197999997 40.64815608300007)
236403182,11/17/2021,17:06:00,BRONX,,47,0,,,true,,,,25-44,M,BLACK,1022178,256770,40.87137556200002,-73.86286333099997,POINT (-73.86286333099997 40.87137556200002)
231369851,07/26/2021,00:26:00,BROOKLYN,,75,0,,,false,,,,25-44,M,BLACK HISPANIC,1015390,186661,40.67897152900008,-73.88773188799998,POINT (-73.88773188799998 40.67897152900008)
86437453,08/25/2012,05:55:00,BRONX,,46,0,,,false,,,,18-24,M,BLACK,1009302.000000000000000,247659.000000000000000,40.846414546000062,-73.909453722999956,POINT (-73.90945372299996 40.84641454600006)
236403182,11/17/2021,17:06:00,BRONX,,47,0,,,false,,,,<18,M,WHITE HISPANIC,1022178,256770,40.87137556200002,-73.86286333099997,POINT (-73.86286333099997 40.87137556200002)
232291905,08/15/2021,22:55:00,QUEENS,,113,0,,,false,,,,25-44,M,BLACK,1050524,184722,40.67345611400003,-73.76108222599998,POINT (-73.76108222599998 40.67345611400003)
91744326,07/21/2013,19:50:00,QUEENS,,103,0,,,false,,,,25-44,M,BLACK,1042685.000000000000000,192673.000000000000000,40.695334948000038,-73.789272922999942,POINT (-73.78927292299994 40.69533494800004)
236168668,11/11/2021,15:04:00,BROOKLYN,,79,0,,,false,,,,<18,M,BLACK,996313,187499,40.68131820000008,-73.95650899099996,POINT (-73.95650899099996 40.68131820000008)
227647467,05/01/2021,03:54:00,BROOKLYN,,79,0,,,false,,,,18-24,M,BLACK,999888,187049,40.680077459000074,-73.94362058199994,POINT (-73.94362058199994 40.680077459000074)
230412254,07/03/2021,22:03:00,MANHATTAN,,23,0,,,false,,,,18-24,M,BLACK,998746,229343,40.79616593900005,-73.94764678999996,POINT (-73.94764678999996 40.79616593900005)
236362254,11/16/2021,20:35:00,QUEENS,,108,0,,,false,,,,18-24,M,BLACK,1004907,204305,40.727430825000056,-73.92547227899996,POINT (-73.92547227899996 40.727430825000056)
228679852,05/25/2021,23:00:00,BRONX,,50,0,,,false,,,,25-44,M,BLACK HISPANIC,1011526,257979,40.874733237000044,-73.90137332799998,POINT (-73.90137332799998 40.874733237000044)
233828149,09/20/2021,14:02:00,BROOKLYN,,94,0,,,false,,,,18-24,M,BLACK,1000805,200665,40.71744853400003,-73.94028098699994,POINT (-73.94028098699994 40.71744853400003)
172331143,12/06/2017,10:28:00,BROOKLYN,,71,0,,,false,,,,25-44,M,BLACK,1003716.812500000000000,182562.921875000000000,40.667756593000036,-73.929829235999989,POINT (-73.92982923599999 40.667756593000036)
223505523,01/24/2021,11:13:00,BROOKLYN,,75,0,,,false,,,,25-44,M,BLACK,1013608,178859,40.657562879000075,-73.89419053199998,POINT (-73.89419053199998 40.657562879000075)
229822601,06/19/2021,00:39:00,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1010169,244577,40.83795285700006,-73.90633196,POINT (-73.90633196 40.83795285700006)
79853889,07/15/2011,22:03:00,BROOKLYN,,71,0,,,false,,,,<18,M,BLACK,1000222.312500000000000,179282.203125000000000,40.658758740000053,-73.942433660999939,POINT (-73.94243366099994 40.65875874000005)
237013476,11/27/2021,01:07:00,BRONX,,49,0,,,true,,,,25-44,M,BLACK,1019953,252096,40.85855614100007,-73.87093325999997,POINT (-73.87093325999997 40.85855614100007)
228962925,06/01/2021,12:20:00,BRONX,,40,0,,,false,,,,25-44,M,WHITE,1005028,234516,40.810351863000044,-73.92494232599995,POINT (-73.92494232599995 40.810351863000044)
238168511,12/22/2021,03:11:00,BROOKLYN,,75,0,,,false,,,,25-44,M,BLACK,1014592,182832,40.668464561000064,-73.89062616399997,POINT (-73.89062616399997 40.668464561000064)
233206524,09/07/2021,00:13:00,BROOKLYN,,75,0,,,false,,,,25-44,M,BLACK,1018747,183640,40.67066712500008,-73.87564431799996,POINT (-73.87564431799996 40.67066712500008)
88129607,12/14/2012,22:14:00,BROOKLYN,,71,0,,,false,,,,<18,M,BLACK,1001334.625000000000000,179794.484375000000000,40.660162762000027,-73.938423341999965,POINT (-73.93842334199996 40.66016276200003)
230448651,07/04/2021,22:08:00,BRONX,,50,0,,,false,,,,<18,M,BLACK HISPANIC,1012377,263348,40.88946679100008,-73.89827362899997,POINT (-73.89827362899997 40.88946679100008)
227089752,04/17/2021,22:20:00,BRONX,,40,0,,,false,,,,25-44,M,BLACK HISPANIC,1009583,231095,40.80095027900006,-73.90850061499998,POINT (-73.90850061499998 40.80095027900006)
233173932,09/04/2021,03:28:00,BRONX,,45,0,,,true,,,,25-44,M,BLACK,1032170,260888,40.88262959000008,-73.82670539599997,POINT (-73.82670539599997 40.88262959000008)
146659432,10/02/2015,22:30:00,BRONX,,44,0,,,false,,,,25-44,M,BLACK,1007534.000000000000000,243078.000000000000000,40.833845877000044,-73.915859866999938,POINT (-73.91585986699994 40.833845877000044)
224354730,02/12/2021,05:15:00,BRONX,,43,0,,,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1018728,242744,40.832892539000056,-73.87540977699997,POINT (-73.87540977699997 40.832892539000056)
234475687,10/04/2021,13:10:00,QUEENS,,101,0,,,true,45-64,M,BLACK,25-44,M,BLACK,1052820,159593,40.60446515900002,-73.75306051399998,POINT (-73.75306051399998 40.60446515900002)
78535854,05/03/2011,02:30:00,BROOKLYN,,70,0,,,false,,,,25-44,M,BLACK,995107.437500000000000,175859.437500000000000,40.649371743000074,-73.960874319999959,POINT (-73.96087431999996 40.649371743000074)
84250038,04/17/2012,00:05:00,BROOKLYN,,60,2,,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,F,BLACK,989391.687500000000000,155077.828125000000000,40.592335711000032,-73.981488083999977,POINT (-73.98148808399998 40.59233571100003)
33445716,07/29/2007,04:33:00,QUEENS,,113,0,,BAR/NIGHT CLUB,false,UNKNOWN,M,BLACK,25-44,M,BLACK,1046405.000000000000000,187112.640625000000000,40.680047740000077,-73.775909196999976,POINT (-73.77590919699998 40.68004774000008)
254911480,11/30/2022,21:15:00,BRONX,OUTSIDE,46,0,STREET,(null),true,18-24,M,BLACK,<18,M,BLACK,1011263,251671,40.857414,-73.902346,POINT (-73.902346 40.857414)
68566523,12/06/2009,22:47:00,QUEENS,,101,0,,,false,,,,18-24,M,BLACK,1049528.250000000000000,157677.515625000000000,40.599232420000078,-73.764933534999955,POINT (-73.76493353499995 40.59923242000008)
11118232,04/26/2006,18:26:00,QUEENS,,105,0,,PVT HOUSE,false,45-64,M,BLACK,45-64,M,BLACK,1055658.875000000000000,201767.437500000000000,40.720201752000037,-73.742390282999963,POINT (-73.74239028299996 40.72020175200004)
10137418,01/11/2006,19:15:00,BROOKLYN,,67,0,,NONE,false,25-44,M,BLACK,25-44,M,BLACK,1005752.000000000000000,179585.000000000000000,40.659578150000073,-73.922502475999977,POINT (-73.92250247599998 40.65957815000007)
156756671,09/16/2016,02:57:00,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,18-24,M,WHITE HISPANIC,1015121.312500000000000,242643.734375000000000,40.832630681000069,-73.88844355599997,POINT (-73.88844355599997 40.83263068100007)
16814010,06/12/2006,20:45:00,BRONX,,52,0,,,true,,,,<18,M,WHITE HISPANIC,1012900.875000000000000,254530.250000000000000,40.865263121000055,-73.896416624999972,POINT (-73.89641662499997 40.865263121000055)
249623757,08/15/2022,18:21:00,QUEENS,OUTSIDE,101,2,HOUSING,MULTI DWELL - PUBLIC HOUS,true,(null),(null),(null),18-24,M,BLACK,1053494,161531,40.609773,-73.750609,POINT (-73.750609 40.609773)
142826173,05/11/2015,19:34:00,BROOKLYN,,63,0,,,false,,,,25-44,M,BLACK,1003995.000000000000000,168121.000000000000000,40.628116034000072,-73.928868722999937,POINT (-73.92886872299994 40.62811603400007)
78453023,04/28/2011,01:43:00,MANHATTAN,,32,2,,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1001751.562500000000000,241629.453125000000000,40.829883383000038,-73.936759680999955,POINT (-73.93675968099996 40.82988338300004)
137999381,07/31/2014,22:16:00,BRONX,,44,0,,MULTI DWELL - APT BUILD,true,,,,45-64,M,BLACK,1004568.125000000000000,243051.843750000000000,40.833781406000071,-73.926577747999943,POINT (-73.92657774799994 40.83378140600007)
33136732,07/16/2007,01:10:00,QUEENS,,105,0,,,false,18-24,M,BLACK,25-44,M,BLACK,1057465.500000000000000,204039.125000000000000,40.726422190000051,-73.735848116999989,POINT (-73.73584811699999 40.72642219000005)
145351462,08/15/2015,07:49:00,BROOKLYN,,81,0,,,true,,,,25-44,M,BLACK,1001019.000000000000000,190844.000000000000000,40.69049179600006,-73.939533458999961,POINT (-73.93953345899996 40.69049179600006)
85284898,06/16/2012,00:45:00,BRONX,,46,0,,,false,,,,<18,M,BLACK,1009700.750000000000000,249612.828125000000000,40.851776084000051,-73.908005069999945,POINT (-73.90800506999994 40.85177608400005)
146096119,09/11/2015,19:00:00,BROOKLYN,,69,0,,,false,,,,45-64,M,BLACK,1007104.000000000000000,171819.000000000000000,40.638258782000037,-73.917655819999936,POINT (-73.91765581999994 40.63825878200004)
137297902,06/17/2014,19:04:00,BROOKLYN,,75,2,,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,<18,M,BLACK,1014550.875000000000000,184359.562500000000000,40.672657517000061,-73.890767542999981,POINT (-73.89076754299998 40.67265751700006)
29246087,05/26/2007,21:26:00,BROOKLYN,,60,2,,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,M,BLACK,989391.687500000000000,155077.828125000000000,40.592335711000032,-73.981488083999977,POINT (-73.98148808399998 40.59233571100003)
62255307,05/30/2009,01:20:00,BROOKLYN,,83,0,,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,18-24,M,BLACK,1006821.125000000000000,194382.875000000000000,40.700192290000075,-73.918599503999985,POINT (-73.91859950399999 40.700192290000075)